pid,year,month,day,weight,quantity,value
P002,2022,6,30,77764,0,4785557
P002,2022,7,10,107391,0,6518721
P002,2022,7,20,133787,0,6971045
P002,2022,7,30,86681,0,4765736
P002,2022,8,10,96407,0,5730291
P002,2022,8,20,102589,0,5576032
P002,2022,8,30,56154,0,4070333
P002,2022,9,10,55955,0,2387330
P002,2022,9,20,93781,0,5650522
P002,2022,9,30,67695,0,5530756
P002,2022,10,10,48399,0,3919849
P002,2022,10,20,128706,0,5348813
P002,2022,10,30,85352,0,4804378
P002,2022,11,10,93111,0,4881777
P002,2022,11,20,63455,0,4940351
P002,2022,11,30,123624,0,5727906
P002,2022,12,10,132950,0,7731113
P002,2022,12,20,181617,0,6147527
P002,2022,12,30,129550,0,6722177
P003,2017,1,10,157280352,0,15426019
P003,2017,1,20,33536154,0,3467812
P003,2017,1,30,72429264,0,5835732
P003,2017,2,10,3481903,0,519952
P003,2017,2,20,77780864,0,7159584
P003,2017,2,30,96374784,0,9395129
P003,2017,3,10,49423784,0,4597339
P003,2017,3,20,176547,0,184364
P003,2017,3,30,50742276,0,4841460
P003,2017,4,10,351940,0,283333
P003,2017,4,20,9416919,0,997429
P003,2017,4,30,40184296,0,3462473
P003,2017,5,10,6166467,0,740401
P003,2017,5,20,111646640,0,9851451
P003,2017,5,30,264838,0,285758
P003,2017,6,10,49734740,0,5045953
P003,2017,6,20,43150568,0,4127639
P003,2017,6,30,241809,0,203158
P003,2017,7,10,102896016,0,9723184
P003,2017,7,20,98081584,0,10216606
P003,2017,7,30,55807512,0,5315816
P003,2017,8,10,145472496,0,14862317
P003,2017,8,20,160139248,0,14716883
P003,2017,8,30,423830,0,387358
P003,2017,9,10,100752008,0,9831045
P003,2017,9,20,169009280,0,15741026
P003,2017,9,30,74007,0,65119
P003,2017,10,10,42782016,0,3790390
P003,2017,10,20,124524,0,104356
P003,2017,10,30,51733052,0,4982065
P003,2017,11,10,18149150,0,1690253
P003,2017,11,20,130025,0,91547
P003,2017,11,30,371222,0,273660
P003,2017,12,10,48385000,0,5099430
P003,2017,12,20,86402,0,71554
P003,2017,12,30,44251764,0,4996572
P003,2018,1,10,68683992,0,6100068
P003,2018,1,20,49952648,0,5755343
P003,2018,1,30,293266,0,240988
P003,2018,2,10,394567,0,268454
P003,2018,2,20,181134,0,174332
P003,2018,2,30,40127656,0,3723744
P003,2018,3,10,52285928,0,5571284
P003,2018,3,20,142762,0,123287
P003,2018,3,30,104000,0,94830
P003,2018,4,10,115750,0,120279
P003,2018,4,20,18047144,0,1767741
P003,2018,4,30,81010,0,89744
P003,2018,5,10,149011776,0,17462000
P003,2018,5,20,65807996,0,8249644
P003,2018,5,30,52944744,0,6112538
P003,2018,6,10,49733008,0,6034862
P003,2018,6,20,82890912,0,10191360
P003,2018,6,30,15590558,0,1872228
P003,2018,7,10,100219288,0,11775961
P003,2018,7,20,190217,0,156220
P003,2018,7,30,14405534,0,2176244
P003,2018,8,10,46954540,0,5634865
P003,2018,8,20,20794404,0,2699693
